package_name,country,category,google_rank,pregdpr.permissions,permission_count,,package_name,country,category,google_rank,postgdpr.permissions,permission_count
bluphant.games.gravity,United States,Ages 5 & Under,358,[],0,,com.amazon.tahoe,Germany,Ages 5 & Under,176,"['android.permission.READ_PHONE_STATE', 'android.permission.CALL_PHONE', 'android.permission.PROCESS_INCOMMING_CALLS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.CHANGE_WIFI_STATE', 'com.amazon.alta.h2clientservice.permission.BIND_SERVICE', 'com.amazon.tahoe.RECEIVE_BROADCASTS', 'com.amazon.cloud9.kids.PARENTAL_ACCESS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.CHANGE_COMPONENT_ENABLED_STATE', 'android.permission.KILL_BACKGROUND_PROCESSES', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.WAKE_LOCK', 'com.amazon.cloud9.kids.CAN_LAUNCH', 'com.audible.application.kindle.permission.MANAGE_DOWNLOADS', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.GET_TASKS', 'com.amazon.CONTENT_PROVIDER_ACCESS', 'android.permission.PACKAGE_USAGE_STATS', 'android.permission.WRITE_SETTINGS', 'android.permission.WRITE_SECURE_SETTINGS', 'com.amazon.identity.auth.device.perm.AUTH_SDK', 'com.amazon.dcp.sso.permission.AMAZON_ACCOUNT_PROPERTY', 'com.amazon.dcp.sso.permission.MANAGE_COR_PFM', 'com.amazon.dcp.sso.permission.account.changed', 'com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed', 'com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS', 'com.amazon.dcp.metrics.permission.METRICS_PERMISSION', 'amazon.permission.COLLECT_METRICS', 'com.amazon.kindle.otter.authPortal.CREDENTIALS_PERMISSION', 'com.amazon.kindle.safemode.SAFEMODE_LIBRARY_ACCESS', 'com.amazon.kindle.cms.CMS_ACCESS', 'com.amazon.tahoe.CONTENT_ACTION_NOTIFICATION_ACCESS', 'com.amazon.avod.SDK_ACCESS', 'com.amazon.mas.client.framework.SAFEMODE_ACCESS', 'com.amazon.mas.client.CONTENT_PROVIDER_READ', 'com.amazon.mas.client.CONTENT_PROVIDER_READ_com.amazon.venezia', 'com.amazon.mas.client.iap.KFT_CONTENT_PROVIDER_READ', 'android.permission.MANAGE_USERS', 'android.permission.INTERACT_ACROSS_USERS', 'android.permission.INTERACT_ACROSS_USERS_FULL', 'com.amazon.alta.h2settings.permission.USE_DIALOGS', 'android.permission.MODIFY_PHONE_STATE', 'com.amazon.tahoe.permission.RECEIVE_ADM_MESSAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'com.amazon.tahoe.BIND_SERVICE', 'com.google.android.c2dm.permission.RECEIVE', 'com.amazon.tahoe.permission.C2D_MESSAGE', 'com.amazon.mas.client.pdiservice.INVOKE_PDI_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.install.INVOKE_INSTALL_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.locker.service.appmgr.INVOKE_APP_MANAGER_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.deleteservice.INVOKE_DELETE_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.download.service.INVOKE_DOWNLOAD_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.GLOBAL_BROADCAST_com.amazon.venezia', 'com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED', 'android.permission.GET_ACCOUNTS', 'android.permission.USE_CREDENTIALS', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.AUTHENTICATE_ACCOUNTS', 'com.amazon.identity.permission.GENERIC_IPC', 'com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE', 'com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER', 'com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER', 'com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER', 'com.amazon.tahoe.permission.C2D_MESSAGE']",67
air.com.pepiplay.pepibathliteandroid,United States,Ages 5 & Under,383,['android.permission.INTERNET'],1,,com.amazon.tahoe,United States,Ages 5 & Under,49,"['android.permission.READ_PHONE_STATE', 'android.permission.CALL_PHONE', 'android.permission.PROCESS_INCOMMING_CALLS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.CHANGE_WIFI_STATE', 'com.amazon.alta.h2clientservice.permission.BIND_SERVICE', 'com.amazon.tahoe.RECEIVE_BROADCASTS', 'com.amazon.cloud9.kids.PARENTAL_ACCESS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.CHANGE_COMPONENT_ENABLED_STATE', 'android.permission.KILL_BACKGROUND_PROCESSES', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.WAKE_LOCK', 'com.amazon.cloud9.kids.CAN_LAUNCH', 'com.audible.application.kindle.permission.MANAGE_DOWNLOADS', 'android.permission.GET_TASKS', 'com.amazon.CONTENT_PROVIDER_ACCESS', 'android.permission.PACKAGE_USAGE_STATS', 'android.permission.WRITE_SETTINGS', 'android.permission.WRITE_SECURE_SETTINGS', 'com.amazon.identity.auth.device.perm.AUTH_SDK', 'com.amazon.dcp.sso.permission.AMAZON_ACCOUNT_PROPERTY', 'com.amazon.dcp.sso.permission.MANAGE_COR_PFM', 'com.amazon.dcp.sso.permission.account.changed', 'com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed', 'com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS', 'com.amazon.dcp.metrics.permission.METRICS_PERMISSION', 'amazon.permission.COLLECT_METRICS', 'com.amazon.kindle.otter.authPortal.CREDENTIALS_PERMISSION', 'com.amazon.kindle.safemode.SAFEMODE_LIBRARY_ACCESS', 'com.amazon.kindle.cms.CMS_ACCESS', 'com.amazon.tahoe.CONTENT_ACTION_NOTIFICATION_ACCESS', 'com.amazon.avod.SDK_ACCESS', 'com.amazon.mas.client.framework.SAFEMODE_ACCESS', 'com.amazon.mas.client.CONTENT_PROVIDER_READ', 'com.amazon.mas.client.CONTENT_PROVIDER_READ_com.amazon.venezia', 'com.amazon.mas.client.iap.KFT_CONTENT_PROVIDER_READ', 'android.permission.MANAGE_USERS', 'android.permission.INTERACT_ACROSS_USERS', 'android.permission.INTERACT_ACROSS_USERS_FULL', 'com.amazon.alta.h2settings.permission.USE_DIALOGS', 'android.permission.MODIFY_PHONE_STATE', 'com.amazon.tahoe.permission.RECEIVE_ADM_MESSAGE', 'com.amazon.device.messaging.permission.RECEIVE', 'com.amazon.tahoe.BIND_SERVICE', 'com.google.android.c2dm.permission.RECEIVE', 'com.amazon.tahoe.permission.C2D_MESSAGE', 'com.amazon.mas.client.pdiservice.INVOKE_PDI_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.install.INVOKE_INSTALL_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.locker.service.appmgr.INVOKE_APP_MANAGER_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.deleteservice.INVOKE_DELETE_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.download.service.INVOKE_DOWNLOAD_SERVICE_com.amazon.venezia', 'com.amazon.mas.client.GLOBAL_BROADCAST_com.amazon.venezia', 'com.amazon.tahoe.permission.C2D_MESSAGE', 'com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED', 'android.permission.GET_ACCOUNTS', 'android.permission.USE_CREDENTIALS', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.AUTHENTICATE_ACCOUNTS', 'com.amazon.identity.permission.GENERIC_IPC', 'com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE', 'com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER', 'com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER', 'com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER']",66
com.intellijoy.sightwords.lite,United States,Ages 5 & Under,466,['android.permission.INTERNET'],1,,bluepin_app.cont.glbburi,South Korea,Ages 5 & Under,357,"['android.permission.CAMERA', 'android.permission.READ_PROFILE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.FLASHLIGHT', 'android.permission.MODIFY_AUDIO_SETTINGS', 'com.android.vending.BILLING', 'com.snapchat.android.permission.C2D_MESSAGE', 'com.snapchat.android.permission.UPDATE_STICKER_INDEX', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.READ_EXTERNAL_STORAGE', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.CHANGE_NETWORK_STATE']",33
com.kevinbradford.games.barnyardgamesfree,United States,Ages 5 & Under,195,['com.android.vending.BILLING'],1,,bluepin_app.cont.his_show_kor,South Korea,Ages 5 & Under,302,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.MANAGE_DOCUMENTS', 'android.permission.GET_ACCOUNTS', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.USE_CREDENTIALS', 'com.google.android.providers.gsf.permission.READ_GSERVICES', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.WAKE_LOCK', 'android.permission.NFC', 'android.permission.CAMERA', 'android.permission.VIBRATE', 'com.google.android.gms.permission.AD_ID_NOTIFICATION', 'com.google.android.youtube.permission.C2D_MESSAGE', 'android.permission.GET_PACKAGE_SIZE', 'android.permission.FOREGROUND_SERVICE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.SEND_SMS', 'android.permission.RECEIVE_SMS', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.sonymobile.home.permission.PROVIDER_INSERT_BADGE']",33
com.kevinbradford.games.firstgrade,United States,Ages 5 & Under,170,['com.android.vending.BILLING'],1,,bluepin_app.cont.ikooo_kor,South Korea,Ages 5 & Under,86,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.MANAGE_DOCUMENTS', 'android.permission.GET_ACCOUNTS', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.USE_CREDENTIALS', 'com.google.android.providers.gsf.permission.READ_GSERVICES', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.WAKE_LOCK', 'android.permission.NFC', 'android.permission.CAMERA', 'android.permission.VIBRATE', 'com.google.android.gms.permission.AD_ID_NOTIFICATION', 'com.google.android.youtube.permission.C2D_MESSAGE', 'android.permission.GET_PACKAGE_SIZE', 'android.permission.FOREGROUND_SERVICE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.SEND_SMS', 'android.permission.RECEIVE_SMS', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.sonymobile.home.permission.PROVIDER_INSERT_BADGE']",33
com.kevinbradford.games.preschoolgames,United States,Ages 5 & Under,120,['com.android.vending.BILLING'],1,,bluepin_app.cont.kongsuni_kor,South Korea,Ages 5 & Under,204,"['android.permission.CAMERA', 'android.permission.READ_PROFILE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.FLASHLIGHT', 'android.permission.MODIFY_AUDIO_SETTINGS', 'com.android.vending.BILLING', 'com.snapchat.android.permission.C2D_MESSAGE', 'com.snapchat.android.permission.UPDATE_STICKER_INDEX', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.READ_EXTERNAL_STORAGE', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.CHANGE_NETWORK_STATE']",33
com.lego.bricksmore,United States,Ages 5 & Under,25,['android.permission.INTERNET'],1,,bluepin_app.cont.kongsuni_sudy_kor,South Korea,Ages 5 & Under,212,"['android.permission.CAMERA', 'android.permission.READ_PROFILE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.FLASHLIGHT', 'android.permission.MODIFY_AUDIO_SETTINGS', 'com.android.vending.BILLING', 'com.snapchat.android.permission.C2D_MESSAGE', 'com.snapchat.android.permission.UPDATE_STICKER_INDEX', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.READ_EXTERNAL_STORAGE', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.CHANGE_NETWORK_STATE']",33
com.lego.duplo.trains,United States,Ages 5 & Under,20,['android.permission.INTERNET'],1,,bluepin_app.cont.lava_tv,South Korea,Ages 5 & Under,339,"['android.permission.CAMERA', 'android.permission.READ_PROFILE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.FLASHLIGHT', 'android.permission.MODIFY_AUDIO_SETTINGS', 'com.android.vending.BILLING', 'com.snapchat.android.permission.C2D_MESSAGE', 'com.snapchat.android.permission.UPDATE_STICKER_INDEX', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.READ_EXTERNAL_STORAGE', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.CHANGE_NETWORK_STATE']",33
com.Mykaelos.FrankiesBabyFireworks,United States,Ages 5 & Under,206,['android.permission.VIBRATE'],1,,bluepin_app.cont.magiccheonjamun1_movie_kor,South Korea,Ages 5 & Under,358,"['android.permission.CAMERA', 'android.permission.READ_PROFILE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.FLASHLIGHT', 'android.permission.MODIFY_AUDIO_SETTINGS', 'com.android.vending.BILLING', 'com.snapchat.android.permission.C2D_MESSAGE', 'com.snapchat.android.permission.UPDATE_STICKER_INDEX', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.READ_EXTERNAL_STORAGE', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.CHANGE_NETWORK_STATE']",33
com.pdemp.myreadingwords,United States,Ages 5 & Under,463,['android.permission.WRITE_EXTERNAL_STORAGE'],1,,bluepin_app.cont.magiccheonjamun2_movie_kor,South Korea,Ages 5 & Under,420,"['android.permission.CAMERA', 'android.permission.READ_PROFILE', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.RECORD_AUDIO', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.INTERNET', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.FLASHLIGHT', 'android.permission.MODIFY_AUDIO_SETTINGS', 'com.android.vending.BILLING', 'com.snapchat.android.permission.C2D_MESSAGE', 'com.snapchat.android.permission.UPDATE_STICKER_INDEX', 'android.permission.BLUETOOTH', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.READ_EXTERNAL_STORAGE', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.CHANGE_NETWORK_STATE']",33
